         t             x1             x2             v1             v2             p1             p2
  1.365000       0.315104       0.126702       2.694973      -1.085824       2.694973      -2.171647
  1.370000       0.328521       0.121284       2.671699      -1.081335       2.671699      -2.162671
  1.375000       0.341820       0.115889       2.647742      -1.076454       2.647742      -2.152907
  1.380000       0.354997       0.110520       2.623112      -1.071182       2.623112      -2.142364
  1.385000       0.368050       0.105178       2.597822      -1.065524       2.597822      -2.131049
  1.390000       0.380975       0.099865       2.571882      -1.059484       2.571882      -2.118969
  1.395000       0.393768       0.094584       2.545302      -1.053066       2.545302      -2.106133
  1.400000       0.406427       0.089335       2.518094      -1.046274       2.518094      -2.092549
  1.405000       0.418948       0.084122       2.490269      -1.039112       2.490269      -2.078225
  1.410000       0.431328       0.078945       2.461838      -1.031585       2.461838      -2.063170
  1.415000       0.443565       0.073807       2.432812      -1.023696       2.432812      -2.047392
  1.420000       0.455655       0.068709       2.403201      -1.015450       2.403201      -2.030900
  1.425000       0.467596       0.063653       2.373017      -1.006852       2.373017      -2.013704
  1.430000       0.479385       0.058641       2.342271      -0.997907       2.342271      -1.995813
  1.435000       0.491018       0.053674       2.310973      -0.988618       2.310973      -1.977236
  1.440000       0.502493       0.048755       2.279134      -0.978991       2.279134      -1.957982
  1.445000       0.513808       0.043885       2.246765      -0.969030       2.246765      -1.938061
  1.450000       0.524960       0.039065       2.213877      -0.958741       2.213877      -1.917483
  1.455000       0.535946       0.034298       2.180480      -0.948129       2.180480      -1.896257
  1.460000       0.546764       0.029585       2.146586      -0.937198       2.146586      -1.874395
  1.465000       0.557411       0.024927       2.112204      -0.925953       2.112204      -1.851906
  1.470000       0.567885       0.020325       2.077346      -0.914400       2.077346      -1.828800
  1.475000       0.578184       0.015783       2.042022      -0.902544       2.042022      -1.805088
  1.480000       0.588305       0.011301       2.006242      -0.890390       2.006242      -1.780781
  1.485000       0.598246       0.006880       1.970017      -0.877944       1.970017      -1.755889
  1.490000       0.608004       0.002522       1.933358      -0.865211       1.933358      -1.730423
  1.495000       0.617579      -0.001772       1.896275      -0.852197       1.896275      -1.704393
  1.500000       0.626966      -0.006000       1.858778      -0.838906       1.858778      -1.677812
  1.505000       0.636166      -0.010161       1.820878      -0.825345       1.820878      -1.650689
  1.510000       0.645174      -0.014253       1.782585      -0.811519       1.782585      -1.623037
  1.515000       0.653991      -0.018275       1.743908      -0.797433       1.743908      -1.594867
  1.520000       0.662613      -0.022227       1.704859      -0.783095       1.704859      -1.566189
  1.525000       0.671039      -0.026106       1.665448      -0.768508       1.665448      -1.537016
  1.530000       0.679267      -0.029912       1.625684      -0.753680       1.625684      -1.507359
  1.535000       0.687295      -0.033642       1.585577      -0.738615       1.585577      -1.477230
  1.540000       0.695122      -0.037297       1.545138      -0.723320       1.545138      -1.446640
  1.545000       0.702746      -0.040875       1.504377      -0.707801       1.504377      -1.415601
  1.550000       0.710165      -0.044375       1.463303      -0.692063       1.463303      -1.384126
  1.555000       0.717378      -0.047795       1.421927      -0.676113       1.421927      -1.352226
  1.560000       0.724384      -0.051136       1.380257      -0.659956       1.380257      -1.319913
  1.565000       0.731181      -0.054395       1.338305      -0.643599       1.338305      -1.287199
  1.570000       0.737767      -0.057571       1.296080      -0.627048       1.296080      -1.254097
  1.575000       0.744141      -0.060665       1.253590      -0.610309       1.253590      -1.220618
  1.580000       0.750302      -0.063674       1.210847      -0.593388       1.210847      -1.186775
  1.585000       0.756249      -0.066598       1.167860      -0.576290       1.167860      -1.152581
  1.590000       0.761980      -0.069437       1.124638      -0.559023       1.124638      -1.118047
  1.595000       0.767495      -0.072188       1.081191      -0.541593       1.081191      -1.083186
